,const,TB3MS,RGDP
const,0.009139032973735427,-0.00018567904480475795,-0.0009942212781968655
TB3MS,-0.00018567904480475795,1.1987007019955686e-05,1.936650416105429e-05
RGDP,-0.0009942212781968655,1.936650416105429e-05,0.00010849530971285605
