,const,RGDP,TB3MS,ar.L1.M2,ar.L2.M2,ma.L1.M2,ma.L2.M2
const,1.8653497217443366e-06,-1.7367801477535278e-05,1.8840492708396816e-09,2.151158865138741e-06,1.2008040259538543e-06,-5.869055043110214e-07,-4.6729387671089276e-07
RGDP,-1.7367801477535278e-05,0.0022860341002109525,5.933947707596572e-08,-0.00044694834846188437,-5.573123920568101e-06,0.0002526200806476687,7.624367561794064e-05
TB3MS,1.8840492708396845e-09,5.933947707596489e-08,2.2726609319221433e-06,1.2588491733413534e-05,-1.4419444392905489e-05,1.156543074700774e-05,-7.668697968114462e-07
ar.L1.M2,2.1511588651387394e-06,-0.00044694834846188393,1.2588491733413523e-05,0.05979159808965124,-0.024715287337995884,-0.058596057033385905,-0.02216858375442932
ar.L2.M2,1.2008040259538543e-06,-5.5731239205682435e-06,-1.4419444392905479e-05,-0.02471528733799589,0.017006381449004567,0.023084442687639626,0.004313190740003993
ma.L1.M2,-5.869055043110198e-07,0.0002526200806476681,1.1565430747007831e-05,-0.058596057033385905,0.023084442687639622,0.06190826156431099,0.02508831961750965
ma.L2.M2,-4.672938767108932e-07,7.624367561794063e-05,-7.668697968114576e-07,-0.022168583754429323,0.004313190740003995,0.025088319617509652,0.01574107476416959
