,const,TB3MS,RGDP
const,0.07837871999003877,-0.0016365731198014514,-0.008524266894778188
TB3MS,-0.0016365731198014514,0.00010822626129387165,0.00017013071369676935
RGDP,-0.008524266894778188,0.00017013071369676935,0.0009300363396223233
