,const,TB3MS,RGDP
const,0.0250892935225239,-0.0005097427779806261,-0.0027294254815260263
TB3MS,-0.0005097427779806261,3.2907807472030377e-05,5.316666531330737e-05
RGDP,-0.0027294254815260263,5.316666531330737e-05,0.0002978510613788039
