,const,RGDP,TB3MS,ar.L1.M1,ma.L1.M1
const,0.00014025528006859518,-0.0006443937023476616,1.5789936693503385e-05,0.0001104290630704377,-0.0002690625524575634
RGDP,-0.0006443937023476617,0.021769300563487505,-0.0005598874795945399,0.00076335186574731,0.0072109686033361
TB3MS,1.5789936693503392e-05,-0.00055988747959454,3.412219728096565e-05,2.7372115396737646e-06,-0.0004179516136622759
ar.L1.M1,0.00011042906307043762,0.0007633518657473115,2.7372115396737138e-06,0.02472165940313969,-0.01092927225646076
ma.L1.M1,-0.00026906255245756356,0.007210968603336106,-0.00041795161366227595,-0.01092927225646076,0.023662686917636643
