,const,RGDP,TB3MS,ar.L1.M1,ar.L2.M1,ma.L1.M1
const,9.778620410782574e-10,1.7960291096618689e-07,-3.2217023336161106e-10,-1.5697853884113726e-08,-2.992648778276391e-09,3.5192160615744025e-10
RGDP,1.7960291096618694e-07,0.006576946924693869,-2.1814232797549712e-05,-0.00023171205046360285,4.534484394330562e-06,9.215689763039898e-08
TB3MS,-3.2217023336161783e-10,-2.1814232797549956e-05,6.241169496346902e-06,4.0608199761041694e-05,-4.004271182585694e-05,-3.279039759294539e-09
ar.L1.M1,-1.569785388411379e-08,-0.00023171205046360516,4.060819976104168e-05,0.004412524543985246,-0.002839303556956827,-5.312030868199463e-07
ar.L2.M1,-2.9926487782763375e-09,4.534484394332439e-06,-4.004271182585694e-05,-0.002839303556956827,0.004412672335767393,-4.292405285648021e-07
ma.L1.M1,3.5192160615744015e-10,9.215689763039927e-08,-3.2790397592945324e-09,-5.312030868199462e-07,-4.292405285648023e-07,0.00020294093171257488
