,const,TB3MS,RGDP
const,0.03053134917615568,-0.000637504483095908,-0.0033205105807838343
TB3MS,-0.000637504483095908,4.2158047158884496e-05,6.627207265090305e-05
RGDP,-0.0033205105807838343,6.627207265090305e-05,0.0003622828267051522
