,const,RGDP,TB3MS,ar.L1.M2,ma.L1.M2
const,4.345391469234216e-05,-0.0006016833170077648,1.0231338890645322e-05,0.00013437290515881672,-1.0128834252463794e-05
RGDP,-0.0006016833170077648,0.019869790651092085,-0.0003309273941550813,-0.002896977194026668,-0.00040994174238233273
TB3MS,1.0231338890645332e-05,-0.00033092739415508163,3.014714795169797e-05,-4.662754286153227e-05,-5.3355454014563304e-05
ar.L1.M2,0.00013437290515881672,-0.0028969771940266674,-4.6627542861532324e-05,0.03294551338857142,-0.015295632275310044
ma.L1.M2,-1.0128834252463847e-05,-0.0004099417423823314,-5.335545401456332e-05,-0.015295632275310046,0.01873349131596618
